592	592	592
1168	576	576
1872	704	704
2472	728	728
3832	1512	1512
4528	1632	1632
6064	2592	2592
6864	2816	2816
7880	3256	3256
8568	3368	3368
9240	3464	3464
9944	3592	3592
10696	3768	3768
11384	3880	3880
12048	3968	3968
12824	4168	4168
13424	4192	4192
14024	4216	4216
14624	4240	4240
15224	4264	4264
15824	4288	4288
16424	4312	4312
17024	4336	4336
17624	4360	4360
18224	4384	4384
18824	4408	4408
19424	4432	4432
20024	4456	4456
20624	4480	4480
21240	4520	4520
21832	4536	4536
30608	12736	12736
39384	20936	20936
48160	29136	29136
50792	31192	31192
53424	33248	33248
55032	34280	34280
55656	34328	34328
56288	34384	34384
56888	34408	34408
57480	34424	34424
58112	34480	34480
58712	34504	34504
59352	34568	34568
60136	34776	34776
60712	34712	34776
61360	34784	34848
61936	34576	34848
62720	34784	34848
63296	34712	34712
63952	34792	34792
64528	34584	34792
65312	34792	34792
65888	34712	34712
66560	34808	34808
67136	34600	34808
67768	34656	34808
68368	34680	34808
68968	34704	34808
69600	34760	34808
70200	34784	34808
70808	34816	34840
71440	34872	34896
72040	34896	34896
72632	34912	34912
73264	34968	34968
73864	34992	34992
74464	35016	35016
75096	35072	35072
75704	35104	35104
76296	35120	35120
76928	35176	35176
77528	35200	35200
78160	35256	35256
78792	35312	35312
79392	35336	35336
79992	35360	35360
80624	35416	35416
81216	35432	35432
81808	35448	35448
82440	35504	35504
83032	35520	35520
83632	35544	35544
84232	35568	35568
84864	35624	35624
85472	35656	35656
86120	35728	35728
86752	35784	35784
87352	35808	35808
87952	35832	35832
88584	35888	35888
89176	35904	35904
89776	35928	35928
90408	35984	35984
91008	36008	36008
91608	36032	36032
92240	36088	36088
92832	36104	36104
93472	36168	36168
94104	36224	36224
94696	36240	36240
95296	36264	36264
95928	36320	36320
96528	36344	36344
97152	36392	36392
97784	36448	36448
98384	36472	36472
100272	37784	37784
100904	37840	37840
101504	37864	37864
102096	37880	37880
102728	37936	37936
103328	37960	37960
103952	38008	38008
104584	38064	38064
105184	38088	38088
105808	38136	38136
106440	38192	38192
107040	38216	38216
107696	38296	38296
108328	38352	38352
108928	38376	38376
109552	38424	38424
110184	38480	38480
110784	38504	38504
111400	38544	38544
112032	38600	38600
112624	38616	38616
113272	38688	38688
113904	38744	38744
114504	38768	38768
115096	38784	38784
115728	38840	38840
116328	38864	38864
116920	38880	38880
117552	38936	38936
118144	38952	38952
118768	39000	39000
119400	39056	39056
120000	39080	39080
120616	39120	39120
121248	39176	39176
121848	39200	39200
122448	39224	39224
123080	39280	39280
123672	39296	39296
124272	39320	39320
124904	39376	39376
125496	39392	39392
126096	39416	39416
126728	39472	39472
127328	39496	39496
127952	39544	39544
128584	39600	39600
129184	39624	39624
129808	39672	39672
130440	39728	39728
131032	39744	39744
131640	39776	39776
132272	39832	39832
132864	39848	39848
133456	39864	39864
134088	39920	39920
134688	39944	39944
135296	39976	39976
135928	40032	40032
136520	40048	40048
137120	40072	40072
137752	40128	40128
138352	40152	40152
138944	40168	40168
139576	40224	40224
140176	40248	40248
140832	40328	40328
141464	40384	40384
142080	40424	40424
142744	40512	40512
143376	40568	40568
143976	40592	40592
144584	40624	40624
145216	40680	40680
145816	40704	40704
146408	40720	40720
147040	40776	40776
147640	40800	40800
148240	40824	40824
148872	40880	40880
149464	40896	40896
150056	40912	40912
150688	40968	40968
151288	40992	40992
151880	41008	41008
152512	41064	41064
153112	41088	41088
153720	41120	41120
154352	41176	41176
154952	41200	41200
155560	41232	41232
156192	41288	41288
156792	41312	41312
157392	41336	41336
158024	41392	41392
158616	41408	41408
159216	41432	41432
160000	41640	41640
160632	41696	41696
161232	41720	41720
161824	41736	41736
162456	41792	41792
163048	41808	41808
163648	41832	41832
164312	41920	41920
164944	41976	41976
165544	42000	42000
166144	42024	42024
