1152	1152	1152
1856	1280	1280
2432	1152	1152
3008	576	576
3600	592	592
4176	576	576
4880	704	704
5480	728	728
6840	1512	1512
7536	1632	1632
9072	2592	2592
9872	2816	2816
10888	3256	3256
11576	3368	3368
12248	3464	3464
12952	3592	3592
13704	3768	3768
14392	3880	3880
15056	3968	3968
15832	4168	4168
16432	4192	4192
17032	4216	4216
17632	4240	4240
18232	4264	4264
18832	4288	4288
19432	4312	4312
20032	4336	4336
20632	4360	4360
21232	4384	4384
21832	4408	4408
22432	4432	4432
23032	4456	4456
23632	4480	4480
24256	4528	4528
24856	4552	4552
25496	4616	4616
26136	4680	4680
45920	23888	23888
46536	23928	23928
47128	23944	23944
80528	56768	56768
81120	56784	56784
81720	56808	56808
82320	56832	56832
82912	56848	56848
83512	56872	56872
84112	56896	56896
84712	56920	56920
85312	56944	56944
85912	56968	56968
86512	56992	56992
87104	57008	57008
87696	57024	57024
88296	57048	57048
88888	57064	57064
89488	57088	57088
90064	24264	56512
91008	24632	56512
92312	25360	56512
96616	29088	56512
97192	29072	56512
97768	29032	56512
